grupo,Aracaju (SE),Belo Horizonte (MG),Belém (PA),Brasil,Brasília (DF),Campo Grande (MS),Curitiba (PR),Fortaleza (CE),Goiânia (GO),Grande Vitória (ES),Porto Alegre (RS),Recife (PE),Rio Branco (AC),Rio de Janeiro (RJ),Salvador (BA),São Luís (MA),São Paulo (SP)
Alimentação e bebidas,1.89,1.15,1.64,0.96,1.08,0.1,0.68,1.25,0.72,1.64,1.0,0.57,0.7,0.8,1.81,1.22,0.74
Habitação,-3.4,-2.12,-4.28,-3.08,-2.83,-2.6,-3.6,-2.94,-4.57,-4.47,-3.45,-4.24,-8.03,-3.13,-3.41,-5.71,-2.42
Artigos de residência,0.72,0.09,0.28,-0.09,0.73,0.11,-0.13,0.09,0.34,0.63,0.56,-0.23,0.99,0.07,-0.06,0.67,-0.74
Vestuário,-0.03,-0.06,0.18,-0.14,-0.97,0.4,0.8,-0.36,0.12,0.2,0.02,0.24,0.16,-0.36,-0.4,0.15,-0.51
Transportes,1.66,1.45,0.77,1.3,2.88,0.82,0.6,0.9,1.46,2.08,0.19,2.17,1.19,1.58,1.22,1.08,1.44
Saúde e cuidados pessoais,0.75,0.58,1.65,0.7,0.54,1.03,0.75,0.05,0.38,0.84,0.83,0.25,0.94,0.46,0.64,1.23,0.81
Despesas pessoais,1.24,0.44,0.56,0.51,0.08,0.63,0.14,1.24,-0.06,0.82,0.56,0.94,0.58,1.32,1.35,-0.06,0.28
Educação,0.23,0.53,0.03,0.26,0.16,0.26,0.21,0.41,0.02,0.17,0.22,0.24,0.02,0.15,0.23,0.36,0.28
Comunicação,0.26,-0.1,0.25,-0.17,0.02,0.04,-0.34,-0.02,0.05,-0.01,0.0,0.28,-0.1,-0.46,-0.05,-0.41,-0.3
Índice geral,0.59,0.43,0.22,0.16,0.56,0.04,-0.09,0.11,-0.03,0.35,-0.03,0.12,-0.34,0.06,0.38,-0.08,0.15
"Fonte: ""IBGE - Índice Nacional de Preços ao Consumidor Amplo""",,,,,,,,,,,,,,,,,
