Variações por Regiões e Grupos
   ;Aracaju (SE);Belo Horizonte (MG);Belém (PA);Brasil;Brasília (DF);Campo Grande (MS);Curitiba (PR);Fortaleza (CE);Goiânia (GO);Grande Vitória (ES);Porto Alegre (RS);Recife (PE);Rio Branco (AC);Rio de Janeiro (RJ);Salvador (BA);São Luís (MA);São Paulo (SP)
1.Alimentação e bebidas;0.38;0.34;0.59;0.82;0.62;1.38;0.8;0.55;0.83;0.72;1.49;0.64;0.01;0.45;0.55;0.56;1.09
2.Habitação;0.66;-0.22;0.93;0.14;-0.18;0.15;0.12;0.3;-0.17;0.65;1.13;-0.15;0.21;-0.17;-0.22;0.61;0.09
3.Artigos de residência;0.44;0.98;0.04;0.53;-0.35;1.68;0.83;0.06;-0.02;0.06;1.13;-0.13;0.31;0.44;0.59;0.5;0.47
4.Vestuário;0.56;1.57;0.27;1.02;1.33;0.19;0.76;0.7;1.51;0.19;1.11;0.22;0.95;0.93;0.01;0.55;1.49
5.Transportes;-0.03;0.2;-0.73;-0.38;-1.26;-0.29;-0.54;0.68;-1.3;-0.61;0.01;-0.57;1.01;-0.98;-1.27;-0.57;-0.08
6.Saúde e cuidados pessoais;0.72;1.28;1.45;1.18;0.85;1.45;1.31;1.35;1.22;1.42;1.71;0.66;1.1;1.17;1.5;1.48;0.93
7.Despesas pessoais;0.49;0.67;0.53;0.54;0.29;0.54;0.73;0.64;0.56;-0.02;0.8;0.62;0.15;0.43;0.14;0.3;0.54
8.Educação;0.02;0.1;0.2;0.05;-0.14;0.01;0.1;0.04;0.05;0.05;0.3;0.19;0.04;0.15;0.06;0.08;-0.03
9.Comunicação;0.37;0.53;0.35;0.69;1.06;0.26;0.87;0.57;0.32;0.33;0.7;0.54;1.05;0.62;0.74;0.89;0.8
Índice geral;0.39;0.49;0.44;0.43;0.04;0.6;0.37;0.6;0.14;0.33;0.95;0.22;0.55;0.16;0.16;0.45;0.52

Fonte: "IBGE - Índice Nacional de Preços ao Consumidor Amplo"
