Variações por Regiões e Grupos
   ;Aracaju (SE);Belo Horizonte (MG);Belém (PA);Brasil;Brasília (DF);Campo Grande (MS);Curitiba (PR);Fortaleza (CE);Goiânia (GO);Grande Vitória (ES);Porto Alegre (RS);Recife (PE);Rio Branco (AC);Rio de Janeiro (RJ);Salvador (BA);São Luís (MA);São Paulo (SP)
1.Alimentação e bebidas;-0.73;-0.73;-0.76;-0.46;0.46;-0.17;-0.52;-0.59;-0.66;-1.14;-0.41;-0.53;-0.23;-0.64;-1.11;-0.79;-0.13
2.Habitação;-1.71;-0.67;-0.57;-0.9;-0.63;-1.87;-0.68;-0.87;-1.95;2.72;-2.06;-0.9;-2.58;-1.63;-0.84;-1.52;-0.55
3.Artigos de residência;-0.42;0.27;0.39;-0.09;-0.14;0.41;0.46;0.07;0.77;-0.02;-0.47;-0.07;0.69;-0.61;-0.97;0.39;-0.2
4.Vestuário;0.71;0.38;0.66;0.72;1.16;-0.1;-0.55;1.06;2.35;1.16;0.21;1.61;1.74;0.53;1.09;1.6;0.81
5.Transportes;0.24;-0.64;-0.47;-0.27;-0.39;-0.12;0.02;0.18;-1.04;-0.32;-0.9;-1.07;0.05;-0.21;0.28;0.04;-0.02
6.Saúde e cuidados pessoais;0.1;0.48;1.01;0.54;0.55;0.32;0.76;0.21;0.3;0.26;0.89;0.66;0.68;0.47;0.7;0.24;0.45
7.Despesas pessoais;0.01;-0.06;0.49;0.4;0.89;0.13;0.39;0.73;0.59;-0.27;0.34;0.33;0.5;0.37;0.8;0.07;0.44
8.Educação;0.73;0.74;0.42;0.75;-0.31;0.2;0.72;0.77;0.22;0.86;0.61;0.22;0.73;0.75;0.69;0.17;1.11
9.Comunicação;-0.59;-0.23;-0.2;-0.09;-0.15;-0.23;-0.31;-0.13;-0.31;-0.25;-0.08;-0.46;-0.15;-0.16;-0.12;-0.63;0.17
Índice geral;-0.26;-0.26;-0.15;-0.11;0.11;-0.28;-0.07;-0.07;-0.4;0.23;-0.4;-0.24;-0.08;-0.34;-0.08;-0.27;0.1

Fonte: "IBGE - Índice Nacional de Preços ao Consumidor Amplo"
