Variações por Regiões e Grupos;Aracaju (SE);Belo Horizonte (MG);Belém (PA);Brasil;Brasília (DF);Campo Grande (MS);Curitiba (PR);Fortaleza (CE);Goiânia (GO);Grande Vitória (ES);Porto Alegre (RS);Recife (PE);Rio Branco (AC);Rio de Janeiro (RJ);Salvador (BA);São Luís (MA);São Paulo (SP)
1.Alimentação e bebidas;1.02;0.81;1.77;1.18;1.18;1.36;0.56;1.17;1.31;1.63;0.62;1.18;1.79;1.26;1.46;1.37;1.37
2.Habitação;-0.63;-0.66;-0.58;-0.56;-0.95;-0.52;0.06;-0.4;-1.37;-0.32;-0.77;-0.9;-1.79;0;-0.04;-0.6;-0.74
3.Artigos de residência;1.02;0.21;0.52;0.65;-0.25;0.86;0.76;0.96;0.57;0.97;0.88;0.84;0.89;0.35;0.45;-0.1;0.89
4.Vestuário;0.61;0.93;1.18;1.14;1.2;1.13;1.02;0.79;0.92;1.13;1;1.4;1.33;1.39;0.71;0.43;1.43
5.Transportes;1.99;-0.23;0.49;0.67;0.11;0.38;0.15;1.78;2.27;0.4;1.05;-0.12;0.47;0.5;2.44;2.11;0.52
6.Saúde e cuidados pessoais;0.24;0.43;-0.11;0.38;0.48;-0.18;1.05;-0.31;0.25;0.03;0.38;0.13;-0.02;0.38;0.2;-0.31;0.53
7.Despesas pessoais;0.59;0.6;0.73;0.62;0.12;0.45;0.78;0.35;0.57;0.75;0.83;0.88;0.82;0.66;0.32;0.27;0.66
8.Educação;0.25;0.05;0;0.11;0.03;0.06;0.06;0.23;0.07;0.23;0.03;0.06;0.51;0.09;0.17;0.25;0.15
9.Comunicação;-0.42;0.44;0.42;0.37;0.6;0.19;0.55;0.61;0.09;0.32;0.64;-0.1;0.23;0.68;-0.28;0.84;0.26
Índice geral;0.67;0.25;0.63;0.52;0.26;0.43;0.46;0.65;0.8;0.52;0.5;0.34;0.53;0.58;0.89;0.71;0.52

Fonte: "IBGE - Índice Nacional de Preços ao Consumidor Amplo"
